year,plot_id,planting_site,original_region,rep,row,column,directionheading,num_leaves_july2019,bolting_july2019,mortality_july2019,vigor_july2019,growth_stage_july2019,avgL_1_july2019,avgW_1_july2019,avgL_2_july2019,avgW_2_july2019,avgL_3_july2019,avgW_3_july2019,leafthickness1_july2019,leafthickness2_july2019,leafthickness3_july2019,PSLESEV_july2019,PSSTSEV_july2019,PSLERES_july2019,BLLEBLSEV_july2019,PHSTSEV_july2019,CVLESEV_july2019,herbdamage_1_july2019,herbpercjuly2019,MOCRLE_july2019,MOTTLE_july2019,bolting_sept2019,mortality_sept2019,vigor_sept2019,growth_stage_sept2019,PSLESEV_sept2019,PSLERES_sept2019,avg_PSLERES_sept2019,PSSTSEV_sept2019,BLLEBLSEV_sept2019,PHSTSEV_sept2019,CLVESEV_sept2019,DM_sept2019
2019,E2_SIL,c,e,3,2,12,N,4,0,0,3,1.1,11,3,9,4,13,3,0.75,0.726,0.647,0,0,0,0,0,0,6,20,NA,NA,0,0,6,1.5,0,0,0,0,0,0,0,0
2019,W2_SIL,c,w,3,3,10,N,2,0,1,2,0.9,5,3,7,3,7,2,0.609,0.673,0.676,0,0,0,5,0,0,3,40,NA,NA,0,0,2,0.9,0,0,0,0,0,0,0,0
2019,W3_SIL,c,w,3,4,10,N,5,0,1,2,0.9,8,3,10,3,9,2,0.703,0.756,0.734,0,0,0,15,0,0,2,10,NA,NA,0,2,2,0.9,0,0,0,0,0.01,0,0,0
2019,W1_SIL,c,w,3,7,12,N,3,0,1,2,0.9,9,3,10,4,8,3,0.64,0.731,0.625,0,0,0,3,0,0,5,10,NA,NA,0,1,2,0.9,0,0,0,0,0.2,0,0,0
2019,C1_SIL,c,c,3,9,11,S,5,0,0,3,1.1,10,3,10,4,7,3,0.697,0.716,0.778,0,0,0,0,0,0,6,20,NA,NA,0,1,5,1.4,0,0,0,0,0,0,0,0
2019,E1_SIL,c,e,3,9,12,N,5,0,0,3,1.3,9,3,11,3,10,3,0.706,0.696,0.732,0,0,0,0,0,0,5,20,NA,NA,0,0,5,1.6,0,0,0,0,0,0,0,0
2019,C4_SIL,c,c,3,10,10,N,6,0,1,3,1.1,12,3,10,3,13,6,0.63,0.636,0.621,0,0,0,0,0,0,1,10,NA,NA,0,1,6,1.5,0,0,0,0,0,0,0,0
2019,C2_SIL,c,c,3,10,11,S,4,0,0,4,1.1,11,3,14,5,10,5,0.595,0.595,0.55,0,0,0,0,0,0,6,20,NA,NA,0,0,6,1.5,0,0,0,0,0,0,0,0
2019,E3_SIL,c,e,3,10,12,N,4,0,0,3,1.1,13,3,12,2,12,4,0.708,0.689,0.72,0,0,0,0,0,0,6,30,NA,NA,0,0,5,1.5,0,0,0,0,0,0,0,0
2019,E4_SIL,c,e,3,11,10,N,5,0,0,3,1.1,12,3,14,4,15,4,0.577,0.621,0.615,0,0,0,0,0,0,5,30,NA,NA,0,0,5,1.5,0,0,0,0,0,0,0,0
2019,C4_SIL,c,c,4,1,13,S,8,0,0,5,1.3,12,5,14,4,12,4,0.675,0.616,0.641,0,0,0,0,0,0,9,20,NA,NA,0,0,6,1.7,0,0,0,0,0,0,0,0
