year,plot_id,planting_site,original_region,rep,row,column,directionheading,num_leaves_july2019,bolting_july2019,mortality_july2019,vigor_july2019,growth_stage_july2019,avgL_1_july2019,avgW_1_july2019,avgL_2_july2019,avgW_2_july2019,avgL_3_july2019,avgW_3_july2019,leafthickness1_july2019,leafthickness2_july2019,leafthickness3_july2019,PSLESEV_july2019,PSSTSEV_july2019,PSLERES_july2019,BLLEBLSEV_july2019,PHSTSEV_july2019,CVLESEV_july2019,herbdamage_1_july2019,herbpercjuly2019,MOCRLE_july2019,MOTTLE_july2019,bolting_sept2019,mortality_sept2019,vigor_sept2019,growth_stage_sept2019,PSLESEV_sept2019,PSLERES_sept2019,avg_PSLERES_sept2019,PSSTSEV_sept2019,BLLEBLSEV_sept2019,PHSTSEV_sept2019,CLVESEV_sept2019,DM_sept2019
2019,E3_SIL,c,e,4,1,16,N,4,0,0,3,1.1,16,4,10,4,10,4,0.7,0.683,0.692,0,0,0,1,0,0,4,30,NA,NA,0,0,6,1.5,0,0,0,0,0,0,0,0
2019,E1_SIL,c,e,4,2,13,S,11,0,0,5,1.5,13,5,13,4,13,5,0.753,0.686,0.704,0,0,0,0,0,0,9,30,NA,NA,1,0,7,1.7,0,0,0,0,0,0,0,0
2019,C3_SIL,c,c,4,3,14,N,7,0,0,3,1.1,16,6,12,5,15,5,0.835,0.918,0.807,0,0,0,0,0,0,8,20,NA,NA,1,0,6,1.8,0,0,0,0,0,0,0,0
2019,E4_SIL,c,e,4,3,15,S,6,0,0,4,1.1,15,4,13,4,17,6,0.715,0.696,0.688,0,0,0,0,0,0,5,20,NA,NA,0,0,6,1.6,0,0,0,0,0,0,0,0
2019,W4_SIL,c,w,4,4,13,S,4,0,0,3,1.1,5,3,8,3,5,3,0.716,0.783,0.746,0,0,0,0,0,0,7,50,NA,NA,0,1,3,1.1,0,0,0,0,0.5,0,0,0
2019,W3_SIL,c,w,4,4,16,N,3,0,1,2,0.9,8,3,8,2,6,3,0.766,0.782,0.754,0,0,0,2,0,0,5,60,NA,NA,0,1,3,0.9,0,0,0,0,0.1,0,0,0
2019,W2_SIL,c,w,4,5,13,S,3,0,0,2,0.9,9,4,11,4,8,3,0.691,0.782,0.702,0,0,0,5,0,0,7,NA,NA,NA,0,0,2,0.7,0,0,0,0,0.02,0,0,0
2019,W1_SIL,c,w,4,5,15,S,2,0,1,2,1.1,8,3,10,2,5,3,0.627,0.714,0.837,0,0,0,15,0,0,8,70,NA,NA,0,2,2,0.9,0,0,0,0,0.01,0,0,0
2019,C2_SIL,c,c,4,6,15,S,6,0,0,4,1.3,16,4,13,4,17,6,0.832,0.925,0.779,0,0,0,0,0,0,9,30,NA,NA,0,0,7,1.5,0,0,0,0,0,0,0,0
2019,E2_SIL,c,e,4,7,13,S,4,0,0,4,1.1,12,4,10,3,12,3,0.814,0.818,0.901,0,0,0,0,0,0,6,10,NA,NA,0,0,6,1.7,0,0,0,0,0,0,0,0
2019,C1_SIL,c,c,4,9,16,N,5,0,0,4,1.1,14,5,13,4,12,4,0.884,0.906,0.854,0,0,0,0,0,0,7,20,NA,NA,0,0,6,1.5,0,0,0,0,0,0,0,0
2019,C4_SIL,c,c,5,2,18,N,6,0,0,3,0.9,8,2,7,3,10,3,0.752,0.767,0.665,0,0,0,0,0,0,3,20,NA,NA,0,0,5,1.5,0,0,0,0,0,0,0,0
2019,W3_SIL,c,w,5,2,19,S,3,0,0,2,0.9,8,3,10,3,11,3,0.653,0.572,0.616,0,0,0,5,0,0,0,0,NA,NA,0,0,3,1.3,0,0,0,0,0.02,0,0,0
2019,E3_SIL,c,e,5,3,17,S,5,0,1,3,1.1,10,4,13,2,10,4,0.71,0.776,0.73,0,0,0,0,0,0,3,10,NA,NA,0,1,5,1.5,0,0,0,0,0,0,0,0
2019,W1_SIL,c,w,5,3,20,N,4,0,1,2,1.1,10,4,11,4,10,4,0.648,0.74,0.642,0,0,0,15,0,0,3,20,NA,NA,0,2,3,1.3,0,0,0,0,0.01,0,0,0
2019,C3_SIL,c,c,5,4,18,N,4,0,1,3,1.1,10,4,10,3,10,4,0.562,0.584,0.587,0,0,0,0,0,0,5,30,NA,NA,0,1,5,1.4,0,0,0,0,0,0,0,0
2019,E4_SIL,c,e,5,4,19,S,4,0,0,3,0.9,11,3,8,3,9,2,0.602,0.585,0.608,0,0,0,0,0,0,4,20,NA,NA,0,0,4,1.4,0,0,0,0,0,0,0,0
2019,E1_SIL,c,e,5,5,17,S,7,0,0,4,1.1,10,3,12,3,10,3,0.53,0.607,0.506,0,0,0,0,0,0,6,20,NA,NA,0,1,6,1.5,0,0,0,0,0,0,0,0
2019,E2_SIL,c,e,5,5,18,N,5,0,0,3,1.1,11,3,10,3,11,3,0.674,0.715,0.591,0,0,0,0,0,0,3,10,NA,NA,0,NA,5,1.4,0,0,0,0,0,0,0,0
2019,W2_SIL,c,w,5,9,18,N,3,0,2,2,0.9,8,3,10,4,8,3,0.768,0.755,0.76,0,0,0,3,0,0,4,50,NA,NA,0,1,3,1.3,0,0,0,0,0.01,0,0,0
2019,W4_SIL,c,w,5,9,19,S,4,0,0,3,1.1,9,4,10,4,9,3,0.812,0.887,0.764,0,0,0,3,0,0,2,20,NA,NA,0,0,3,1.3,0,0,0,0,0.1,0,0,0
2019,C1_SIL,c,c,5,11,17,S,4,0,0,3,1.1,13,4,10,3,11,3,0.697,0.743,0.731,0,0,0,1,0,0,3,10,NA,NA,0,0,4,1.4,0,0,0,0,0.5,0,0,0
2019,C2_SIL,c,c,5,11,18,N,4,0,0,3,1.1,13,4,14,4,14,4,0.509,0.591,0.742,0,0,0,0,0,0,0,0,NA,NA,0,0,7,1.6,0,0,0,0,0,0,0,0
2019,C2_SIL,e,c,1,1,3,W,9,0,0,6,1.8,32,8,31,7,29,8,0.694,0.715,0.725,0.1,0,2,0,0,0,2,20,NA,NA,0,0,9,1.9,10,2.111111111,2.375,0,0,0,0,0
2019,E2_SIL,e,e,1,1,8,W,12,0,0,5,1.7,17,4,22,6,22,5,0.591,0.616,0.631,0.01,0,2,0,0,0,3,10,NA,NA,1,0,8,1.9,15,3,3.125,60,0,0,0,0
2019,W3_SIL,e,w,1,2,4,E,6,0,0,5,1.7,22,6,22,8,21,8,0.699,0.775,0.828,0,0,0,0,0,0,7,10,NA,NA,0,0,8,1.8,0.5,1.666666667,1.75,0,0,0,0,0
2019,E3_SIL,e,e,1,2,5,E,8,0,1,5,1.7,23,6,25,6,21,6,0.66,0.62,0.658,0,0,0,0,0,0,1,10,NA,NA,1,1,8,1.9,1,2.0625,2.071429,0,0,0,0,0
2019,C3_SIL,e,c,1,2,6,E,8,0,0,5,1.7,22,6,23,6,24,6,0.762,0.66,0.63,0.01,0,2,0,0,0,4,10,NA,NA,0,0,8,1.8,2,2,2,0,0.01,0,0,0
2019,E4_SIL,e,e,1,3,6,W,7,0,0,4,1.6,21,5,22,5,24,6,0.708,0.727,0.613,0.1,0,2,0,0,0,3,10,NA,NA,0,0,7,1.7,25,3.222222222,3.375,0,0,0,0,0
2019,W4_SIL,e,w,1,4,4,E,5,0,0,4,1.6,14,6,20,6,19,6,0.738,0.75,0.76,0,0,0,0,0,0,4,20,NA,NA,0,0,6,1.5,0.1,1.444444444,1.625,0,0,0,0,0
2019,C1_SIL,e,c,1,4,5,E,7,0,0,5,1.7,25,7,23,7,21,8,0.698,0.667,0.756,0.1,0,2,0.01,0,0,7,20,NA,NA,0,0,7,1.7,1,1.888888889,1.875,0,0.01,0,0,0
2019,W1_SIL,e,w,1,4,7,E,10,0,0,6,1.8,24,7,26,6,25,7,0.555,0.62,0.56,0.1,0,2,0,0,0,6,10,NA,NA,0,0,8,1.8,0.5,1.111111111,1,0,0,0,0,0
2019,W2_SIL,e,w,1,6,1,E,4,0,0,4,1.4,18,5,21,7,18,5,0.72,0.702,0.682,0,0,0,0,0,0,5,30,NA,NA,0,0,8,1.6,0.5,1.444444444,1.5,0,0,0,0,0
2019,C4_SIL,e,c,1,6,3,E,10,0,0,6,1.8,25,6,24,7,29,8,0.654,0.648,0.635,0.1,0,3,0,0,0,8,20,NA,NA,0,0,8,1.7,25,3.222222222,3.25,0,0,0,0,0
2019,E1_SIL,e,e,1,6,4,E,10,0,0,5,1.7,22,7,24,7,19,6,0.527,0.656,0.512,0.1,0,2,0,0,0,6,10,NA,NA,2,0,8,1.9,15,3.444444444,3.5,25,0,0,0,0
2019,C1_SIL,e,c,2,7,8,W,6,0,0,4,1.5,16,6,17,5,19,7,0.6,0.765,0.741,0.1,0,2,0,0,0,3,10,NA,NA,0,0,6,1.6,0.2,1.888888889,1.875,0,0.01,0,0,0
2019,W2_SIL,e,w,2,8,3,E,5,0,0,4,1.4,16,5,17,6,20,5,0.74,0.777,0.77,0,0,0,0.1,0,0,5,20,NA,NA,0,0,7,1.5,0.05,1.666666667,1.625,0,2,0,0,0
2019,E4_SIL,e,e,2,8,8,E,6,0,0,4,1.4,12,3,15,4,14,4,0.711,0.715,0.681,0.01,0,2,0,0,0,3,10,NA,NA,0,0,6,1.6,2,2.555555556,2.625,0,0,0,0,0
2019,E3_SIL,e,e,2,9,3,W,11,0,0,5,1.7,14,4,13,6,13,4,0.775,0.765,0.714,0.2,0,2,0,0,0,4,10,NA,NA,2,0,7,1.7,15,2.777777778,2.875,5,0,0,0,0
2019,W4_SIL,e,w,2,9,4,W,6,0,0,5,1.5,20,7,15,5,16,7,0.7,0.735,0.73,0.01,0,1,0,0,0,7,10,NA,NA,0,0,8,1.7,0.02,2,2,0,0.02,0,0,0
2019,C2_SIL,e,c,2,9,8,W,5,0,0,4,1.4,14,5,15,5,19,4,0.63,0.655,0.647,0.01,0,2,0,0,0,5,10,NA,NA,0,0,6,1.5,0.2,2,2,0,0,0,0,0
2019,W1_SIL,e,w,2,10,1,E,7,0,0,4,1.4,11,5,18,5,0.01,7,0.794,0.738,0.666,0.1,0,2,0,0,0,5,10,NA,NA,0,0,6,1.5,0.1,1.777777778,2,0,0,0,0,0
2019,W3_SIL,e,w,2,10,3,E,7,0,1,5,1.6,26,7,17,7,22,6,0.776,0.755,0.812,0,0,0,0,0,0,4,10,NA,NA,0,1,7,1.7,0.02,1.75,1.714286,0,0.1,0,0,0
2019,E1_SIL,e,e,2,10,7,E,9,0,0,5,1.6,22,7,23,6,27,6,0.763,0.796,0.819,0.1,0,2,0,0,0,4,10,NA,NA,2,0,6,1.5,20,3.222222222,3.125,20,0,0,0,0
2019,C4_SIL,e,c,2,11,3,W,8,0,0,6,1.8,25,6,22,7,27,8,0.541,0.535,0.51,0.2,0,2,0.01,0,0,3,20,NA,NA,0,0,6,1.5,15,3.555555556,3.625,0,0,0,0,0
2019,C3_SIL,e,c,2,11,5,W,9,0,0,5,1.6,19,7,23,7,19,8,0.68,0.763,0.673,0.01,0,2,0,0,0,1,20,NA,NA,0,0,9,1.8,0.5,2.444444444,2.75,0,0,0,0,0
